ip,domain
110.9.135.68,com.apple.dnssd-proxy
110.9.139.173,com.apple.dnssd-proxy
110.9.169.152,com.apple.dnssd-proxy
110.9.230.184,com.apple.dnssd-proxy
110.9.24.53,com.apple.dnssd-proxy
110.9.37.191,com.apple.dnssd-proxy
110.9.57.131,com.apple.dnssd-proxy
110.9.6.168,com.apple.dnssd-proxy
1.1.1.1,1dot1dot1dot1.cloudflare-dns.com
111.13.66.229,dns.360.cn
111.13.66.229,dot.360.cn
111.164.177.194,dns194.online.tj.cn
111.184.72.212,com.apple.dnssd-proxy
111.185.16.236,com.apple.dnssd-proxy
1.1.1.1,cloudflare-dns.com
1.1.1.1,one.one.one.one
111.229.46.231,d.gdns.ren
111.230.196.244,dns.fcjuny.cn
1.1.1.2,cloudflare-dns.com
1.1.1.2,security.cloudflare-dns.com
1.1.1.3,cloudflare-dns.com
1.1.1.3,family.cloudflare-dns.com
1.116.116.195,dns.liuhr.online
1.117.174.35,tlsdns.xuanlove.cn
111.7.223.98,dns.ipv6dns.com
111.7.73.60,dns.360.cn
111.7.73.60,dot.360.cn
112.118.13.156,com.apple.dnssd-proxy
112.118.165.58,com.apple.dnssd-proxy
112.118.169.129,com.apple.dnssd-proxy
112.118.203.148,com.apple.dnssd-proxy
112.118.225.224,com.apple.dnssd-proxy
112.118.236.37,sitt.ddns.net
112.118.50.145,com.apple.dnssd-proxy
112.118.77.33,com.apple.dnssd-proxy
112.119.112.246,com.apple.dnssd-proxy
112.119.123.126,com.apple.dnssd-proxy
112.119.183.213,com.apple.dnssd-proxy
112.119.202.241,com.apple.dnssd-proxy
112.119.202.248,com.apple.dnssd-proxy
112.119.206.171,agh.yef.duckdns.org
112.119.236.163,com.apple.dnssd-proxy
112.119.253.202,com.apple.dnssd-proxy
112.119.46.79,com.apple.dnssd-proxy
112.119.53.167,com.apple.dnssd-proxy
112.119.6.207,com.apple.dnssd-proxy
112.119.68.52,com.apple.dnssd-proxy
112.119.93.170,com.apple.dnssd-proxy
112.120.156.226,com.apple.dnssd-proxy
112.120.175.221,com.apple.dnssd-proxy
112.120.181.244,com.apple.dnssd-proxy
112.120.243.176,com.apple.dnssd-proxy
112.120.254.71,com.apple.dnssd-proxy
112.150.124.116,com.apple.dnssd-proxy
112.161.101.242,com.apple.dnssd-proxy
112.161.203.165,com.apple.dnssd-proxy
112.161.37.51,com.apple.dnssd-proxy
112.163.184.233,com.apple.dnssd-proxy
112.165.116.198,com.apple.dnssd-proxy
112.167.17.53,com.apple.dnssd-proxy
112.167.187.159,com.apple.dnssd-proxy
112.168.122.159,com.apple.dnssd-proxy
112.169.151.218,com.apple.dnssd-proxy
112.169.212.23,com.apple.dnssd-proxy
112.169.43.175,com.apple.dnssd-proxy
112.170.17.45,com.apple.dnssd-proxy
112.170.33.36,com.apple.dnssd-proxy
112.171.219.132,com.apple.dnssd-proxy
112.172.78.212,com.apple.dnssd-proxy
112.173.101.181,com.apple.dnssd-proxy
112.173.18.194,com.apple.dnssd-proxy
112.184.157.142,com.apple.dnssd-proxy
112.184.184.195,com.apple.dnssd-proxy
112.184.184.252,com.apple.dnssd-proxy
112.186.152.140,com.apple.dnssd-proxy
112.187.149.22,com.apple.dnssd-proxy
112.187.149.57,com.apple.dnssd-proxy
112.187.183.120,com.apple.dnssd-proxy
112.187.212.142,com.apple.dnssd-proxy
112.187.232.129,com.apple.dnssd-proxy
112.187.241.86,com.apple.dnssd-proxy
112.187.253.57,com.apple.dnssd-proxy
112.213.33.141,cleandns.highsecurity.net.au
1.12.34.56,dnspub.com
112.65.69.15,dns.360.cn
112.65.69.15,dot.360.cn
112.74.0.101,alidns.com
112.78.178.101,dns.sman4tegal.sch.id
113.252.115.40,com.apple.dnssd-proxy
113.252.19.182,com.apple.dnssd-proxy
113.252.243.189,com.apple.dnssd-proxy
113.252.37.103,com.apple.dnssd-proxy
113.252.7.212,com.apple.dnssd-proxy
113.253.17.236,com.apple.dnssd-proxy
113.253.226.17,com.apple.dnssd-proxy
113.253.25.218,com.apple.dnssd-proxy
113.253.29.65,com.apple.dnssd-proxy
113.253.5.84,com.apple.dnssd-proxy
113.254.117.206,com.apple.dnssd-proxy
113.254.173.124,com.apple.dnssd-proxy
113.254.202.220,com.apple.dnssd-proxy
113.254.218.193,com.apple.dnssd-proxy
113.254.40.22,com.apple.dnssd-proxy
113.254.57.212,com.apple.dnssd-proxy
113.255.126.191,com.apple.dnssd-proxy
113.255.126.207,com.apple.dnssd-proxy
113.255.231.201,com.apple.dnssd-proxy
113.255.241.134,com.apple.dnssd-proxy
113.255.39.91,com.apple.dnssd-proxy
113.255.44.29,com.apple.dnssd-proxy
